Name	Gene Models	Total pep	Novel Pep	PDB	CDB	TDB	GDB	ASP	DSP	IP	Chromosome	3UTR	5UTR	Novel	Desc
LOC_Os01g36930	1	16	0	16	0	0	0	0	0	0	1	0	0	0	protein ubiquitin carboxyl-terminal hydrolase 6, putative, expressed
LOC_Os01g37770	1	3	0	3	0	0	0	0	0	0	1	0	0	0	protein RWD domain containing protein, expressed
LOC_Os01g37832	3	9	0	9	0	0	0	0	0	0	1	0	0	0	protein thioredoxin, putative, expressed
LOC_Os01g38970	1	46	1	45	1	0	0	0	0	0	1	0	0	0	protein carbamoyl-phosphate synthase large chain, putative, expressed
LOC_Os01g40340	3	9	1	8	1	0	0	0	0	0	1	0	1	1	protein SIT4 phosphatase-associated protein domain containing protein, expressed
LOC_Os01g41190	2	4	0	4	0	0	0	0	0	0	1	0	0	0	protein glycine-rich protein, putative, expressed
LOC_Os01g42260	4	2	0	2	0	0	0	0	0	0	1	0	0	0	protein transcriptional corepressor LEUNIG, putative, expressed
LOC_Os01g42820	3	9	0	9	0	0	0	0	0	0	1	0	0	0	protein RNA recognition motif containing protein, putative, expressed
LOC_Os01g43410	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein CAMK_CAMK_like.9 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
LOC_Os01g45190	2	4	0	4	0	0	0	0	0	0	1	0	0	0	protein DEAD-box ATP-dependent RNA helicase, putative, expressed
LOC_Os01g46380	1	17	0	17	0	0	0	0	0	0	1	0	0	0	protein ketol-acid reductoisomerase, chloroplast precursor, putative, expressed
LOC_Os01g46610	1	30	0	30	0	0	0	0	0	0	1	0	0	0	protein dehydrogenase, putative, expressed
LOC_Os01g46980	1	6	0	6	0	0	0	0	0	0	1	0	0	0	protein vacuolar ATP synthase subunit E, putative, expressed
LOC_Os01g47660	1	6	0	6	0	0	0	0	0	0	1	0	0	0	protein 60S ribosomal protein L18a, putative, expressed
LOC_Os01g48320	1	4	0	4	0	0	0	0	0	0	1	0	0	0	protein transcription factor like protein, putative, expressed
LOC_Os01g48420	1	13	0	13	0	0	0	0	0	0	1	0	0	0	protein peroxiredoxin, putative, expressed
LOC_Os01g48770	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein 60S ribosomal protein L37a, putative, expressed
LOC_Os01g49190	1	22	0	22	0	0	0	0	0	0	1	0	0	0	protein ATP synthase, putative, expressed
LOC_Os01g49250	1	5	0	5	0	0	0	0	0	0	1	0	0	0	protein methyltransferase, putative, expressed
LOC_Os01g49529	4	2	0	2	0	0	0	0	0	0	1	0	0	0	protein OsWAK10d - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK, expressed
LOC_Os01g50310	1	4	0	4	0	0	0	0	0	0	1	0	0	0	protein VIP1 protein, putative, expressed
LOC_Os01g51300	2	9	0	9	0	0	0	0	0	0	1	0	0	0	protein WD domain, G-beta repeat domain containing protein, expressed
LOC_Os01g51380	2	5	0	5	0	0	0	0	0	0	1	0	0	0	protein ATP synthase, putative, expressed
LOC_Os01g53680	1	8	0	8	0	0	0	0	0	0	1	0	0	0	protein 6-phosphofructokinase, putative, expressed
LOC_Os01g54030	1	3	0	3	0	0	0	0	0	0	1	0	0	0	protein NADP-dependent malic enzyme, putative, expressed
LOC_Os01g54560	3	6	0	6	0	0	0	0	0	0	1	0	0	0	protein trehalose synthase, putative, expressed
LOC_Os01g54920	2	6	0	6	0	0	0	0	0	0	1	0	0	0	protein heat- and acid-stable phosphoprotein, putative, expressed
LOC_Os01g55040	1	3	0	3	0	0	0	0	0	0	1	0	0	0	protein 1,3-beta-glucan synthase component, putative, expressed
LOC_Os01g55050	2	3	0	3	0	0	0	0	0	0	1	0	0	0	protein protein of unknown function DUF1421 domain containing protein, expressed
LOC_Os01g55830	1	8	0	8	0	0	0	0	0	0	1	0	0	0	protein glutathione S-transferase, putative, expressed
LOC_Os01g56140	1	5	0	5	0	0	0	0	0	0	1	0	0	0	protein expressed protein
LOC_Os01g56490	1	18	0	18	0	0	0	0	0	0	1	0	0	0	protein ubiquitin carboxyl-terminal hydrolase, putative, expressed
LOC_Os01g57450	1	3	0	3	0	0	0	0	0	0	1	0	0	0	protein universal stress protein domain containing protein, putative, expressed
LOC_Os01g58680	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein apurinic endonuclease-redox protein, putative, expressed
LOC_Os01g59990	2	4	0	4	0	0	0	0	0	0	1	0	0	0	protein ribosomal protein L24, putative, expressed
LOC_Os01g60190	2	28	0	28	0	0	0	0	0	0	1	0	0	0	protein 2,3-bisphosphoglycerate-independent phosphoglycerate mutase, putative, expressed
LOC_Os01g61830	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein zinc finger C-x8-C-x5-C-x3-H type family protein, expressed
LOC_Os01g66940	1	11	0	11	0	0	0	0	0	0	1	0	0	0	protein kinase, pfkB family, putative, expressed
LOC_Os01g67134	1	9	0	9	0	0	0	0	0	0	1	0	0	0	protein ribosomal L18p/L5e family protein, putative, expressed
LOC_Os01g67860	1	32	1	31	1	0	0	0	0	1	1	0	0	1	protein fructose-bisphospate aldolase isozyme, putative, expressed
LOC_Os01g68324	3	11	0	11	0	0	0	0	0	0	1	0	0	0	protein dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDasubunit precursor, putative, expressed
LOC_Os01g68770	1	15	0	15	0	0	0	0	0	0	1	0	0	0	protein selenium-binding protein, putative, expressed
LOC_Os01g69030	4	2	0	2	0	0	0	0	0	0	1	0	0	0	protein sucrose-phosphate synthase, putative, expressed
LOC_Os01g71230	2	12	1	11	1	0	0	0	0	0	1	0	0	0	protein nascent polypeptide-associated complex subunit alpha-like protein 3, putative, expressed
LOC_Os01g72890	2	2	0	2	0	0	0	0	0	0	1	0	0	0	protein transposon protein, putative, CACTA, En/Spm sub-class, expressed
LOC_Os01g73880	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein eukaryotic translation initiation factor, putative, expressed
LOC_Os02g01280	1	20	0	20	0	0	0	0	0	0	2	0	0	0	protein T-complex protein, putative, expressed
LOC_Os02g01332	1	10	0	10	0	0	0	0	0	0	2	0	0	0	protein ribosomal protein L6, putative, expressed
LOC_Os02g01510	1	14	0	14	0	0	0	0	0	0	2	0	0	0	protein lactate/malate dehydrogenase, putative, expressed
LOC_Os02g02870	1	9	0	9	0	0	0	0	0	0	2	0	0	0	protein glycine-rich protein 2, putative, expressed
LOC_Os02g03080	1	22	0	22	0	0	0	0	0	0	2	0	0	0	protein eukaryotic translation initiation factor 3 subunit C, putative, expressed
LOC_Os02g03740	1	8	0	8	0	0	0	0	0	0	2	0	0	0	protein pyridoxal biosynthesis protein PDX2, putative, expressed
LOC_Os02g05330	1	6	0	6	0	0	0	0	0	0	2	0	0	0	protein DEAD-box ATP-dependent RNA helicase, putative, expressed
LOC_Os02g06370	1	5	0	5	0	0	0	0	0	0	2	0	0	0	protein whirly transcription factor domain containing protein, expressed
LOC_Os02g06500	1	6	0	6	0	0	0	0	0	0	2	0	0	0	protein DSHCT domain containing protein, expressed
LOC_Os02g07870	1	3	0	3	0	0	0	0	0	0	2	0	0	0	protein ATP synthase, putative, expressed
LOC_Os02g10070	2	15	0	15	0	0	0	0	0	0	2	0	0	0	protein citrate synthase, putative, expressed
LOC_Os02g10510	1	10	0	10	0	0	0	0	0	0	2	0	0	0	protein Ubiquitin family domain containing protein, expressed
LOC_Os02g10810	1	3	0	3	0	0	0	0	0	0	2	0	0	0	protein protein of unknown function domain containing protein, expressed
LOC_Os02g12800	5	4	0	4	0	0	0	0	0	0	2	0	0	0	protein elongation factor 1-gamma, putative, expressed
LOC_Os02g13990	3	8	0	8	0	0	0	0	0	0	2	0	0	0	protein U2 small nuclear ribonucleoprotein A, putative, expressed
LOC_Os02g14770	4	28	0	28	0	0	0	0	0	0	2	0	0	0	protein phosphoenolpyruvate carboxylase, putative, expressed
LOC_Os02g17390	1	27	0	27	0	0	0	0	0	0	2	0	0	0	protein 3-hydroxyacyl-CoA dehydrogenase, putative, expressed
LOC_Os02g19860	1	10	0	10	0	0	0	0	0	0	2	0	0	0	protein pre-mRNA-splicing factor ATP-dependent RNA helicase, putative, expressed
LOC_Os02g27470	1	10	0	10	0	0	0	0	0	0	2	0	0	0	protein importin-7, putative, expressed
LOC_Os02g29400	1	3	0	3	0	0	0	0	0	0	2	0	0	0	protein expressed protein
LOC_Os02g32030	1	38	0	38	0	0	0	0	0	0	2	0	0	0	protein elongation factor, putative, expressed
LOC_Os02g33320	3	5	0	5	0	0	0	0	0	0	2	0	0	0	protein RNA recognition motif containing protein, putative, expressed
LOC_Os02g34830	1	5	0	5	0	0	0	0	0	0	2	0	0	0	protein tetratricopeptide repeat domain containing protein, expressed
LOC_Os02g35690	2	3	0	3	0	0	0	0	0	0	2	0	0	0	protein transcription factor like protein, putative, expressed
LOC_Os02g38920	2	39	0	39	0	0	0	0	0	0	2	0	0	0	protein glyceraldehyde-3-phosphate dehydrogenase, putative, expressed
LOC_Os02g39550	3	8	0	8	0	0	0	0	0	0	2	0	0	0	protein calcium-binding mitochondrial protein anon-60Da, putative, expressed
LOC_Os02g40880	2	11	0	11	0	0	0	0	0	0	2	0	0	0	protein ribosomal protein L14, putative, expressed
LOC_Os02g42040	1	12	0	12	0	0	0	0	0	0	2	0	0	0	protein MIF4G domain containing protein, putative, expressed
LOC_Os02g42550	1	5	0	5	0	0	0	0	0	0	2	0	0	0	protein expressed protein
LOC_Os02g44770	1	2	0	2	0	0	0	0	0	0	2	0	0	0	protein uncharacterized mscS family protein, putative, expressed
LOC_Os02g44810	1	3	0	3	0	0	0	0	0	0	2	0	0	0	protein tRNA pseudouridine synthase family protein, putative, expressed
LOC_Os02g44870	1	4	0	4	0	0	0	0	0	0	2	0	0	0	protein dehydrin, putative, expressed
LOC_Os02g45070	2	14	0	14	0	0	0	0	0	0	2	0	0	0	protein PINHEAD, putative, expressed
LOC_Os02g46520	1	14	0	14	0	0	0	0	0	0	2	0	0	0	protein hydrolase, putative, expressed
LOC_Os02g46962	3	8	0	8	0	0	0	0	0	0	2	0	0	0	protein VHS and GAT domain containing protein, expressed
LOC_Os02g47150	1	3	0	3	0	0	0	0	0	0	2	0	0	0	protein DNA topoisomerase 2, putative, expressed
LOC_Os02g50620	1	15	0	15	0	0	0	0	0	0	2	0	0	0	protein dehydrogenase E1 component domain containing protein, expressed
LOC_Os02g52390	1	25	0	25	0	0	0	0	0	0	2	0	0	0	protein M16 domain containing zinc peptidase, putative, expressed
LOC_Os02g52880	2	8	0	8	0	0	0	0	0	0	2	0	0	0	protein ybaK/prolyl-tRNA synthetase family protein, putative, expressed
LOC_Os02g53420	1	26	0	26	0	0	0	0	0	0	2	0	0	0	protein DnaK family protein, putative, expressed
LOC_Os02g54470	2	5	0	5	0	0	0	0	0	0	2	0	0	0	protein 60S ribosomal protein L35a-3, putative, expressed
LOC_Os02g54510	3	3	0	3	0	0	0	0	0	0	2	0	0	0	protein protein kinase domain containing protein, expressed
LOC_Os02g54700	1	10	0	10	0	0	0	0	0	0	2	0	0	0	protein RNA recognition motif containing protein, putative, expressed
LOC_Os02g55440	2	6	0	6	0	0	0	0	0	0	2	0	0	0	protein transmembrane 9 superfamily member, putative, expressed
LOC_Os02g56740	2	6	0	6	0	0	0	0	0	0	2	0	0	0	protein translation initiation factor eIF-2B subunit epsilon, putative, expressed
LOC_Os02g56960	1	14	1	13	1	0	0	0	0	0	2	0	0	0	protein ribosomal protein, putative, expressed
LOC_Os02g57180	2	2	0	2	0	0	0	0	0	0	2	0	0	0	protein NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed
LOC_Os02g57590	3	2	0	2	0	0	0	0	0	0	2	0	0	0	protein rRNA 2-O-methyltransferase fibrillarin 2, putative, expressed
LOC_Os02g58090	2	2	0	2	0	0	0	0	0	0	2	0	0	0	protein PSP domain containing protein, expressed
LOC_Os02g58340	1	23	0	23	0	0	0	0	0	0	2	0	0	0	protein oligopeptidase, putative, expressed
LOC_Os02g58510	1	3	0	3	0	0	0	0	0	0	2	0	0	0	protein GHMP kinases ATP-binding protein, putative
LOC_Os03g02150	2	4	0	4	0	0	0	0	0	0	3	0	0	0	protein adapitin protein, putative, expressed
LOC_Os03g04960	5	7	0	7	0	0	0	0	0	0	3	0	0	0	protein cysteinyl-tRNA synthetase, putative, expressed
LOC_Os03g05260	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein ankyrin repeat domain containing protein, expressed
LOC_Os03g05390	13	6	0	6	0	0	0	0	0	0	3	0	0	0	protein Citrate transporter protein, putative, expressed
LOC_Os03g05812	3	3	0	3	0	0	0	0	0	0	3	0	0	0	protein expressed protein
LOC_Os03g06200	1	21	0	21	0	0	0	0	0	0	3	0	0	0	protein aminotransferase, putative, expressed
LOC_Os03g06950	1	2	0	2	0	0	0	0	0	0	3	0	0	0	protein ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed
LOC_Os03g08140	2	13	0	13	0	0	0	0	0	0	3	0	0	0	protein tubulin--tyrosine ligase-like protein 12, putative, expressed
LOC_Os03g08360	3	7	0	7	0	0	0	0	0	0	3	0	0	0	protein 3-ketoacyl-CoA synthase 10, putative, expressed
LOC_Os03g08440	2	15	0	15	0	0	0	0	0	0	3	0	0	0	protein ribosomal protein S2, putative, expressed
LOC_Os03g08810	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein expressed protein
LOC_Os03g10340	1	16	0	16	0	0	0	0	0	0	3	0	0	0	protein 40S ribosomal protein S3a, putative, expressed
LOC_Os03g11720	1	12	0	12	0	0	0	0	0	0	3	0	0	0	protein glycosyl hydrolase, family 31, putative, expressed
LOC_Os03g13970	2	10	0	10	0	0	0	0	0	0	3	0	0	0	protein 26S proteasome non-ATPase regulatory subunit 4, putative, expressed
LOC_Os03g14260	2	16	0	16	0	0	0	0	0	0	3	0	0	0	protein guanine nucleotide exchange family protein, putative, expressed
LOC_Os03g14450	2	10	0	10	0	0	0	0	0	0	3	0	0	0	protein enolase, putative, expressed
LOC_Os03g15420	1	4	0	4	0	0	0	0	0	0	3	0	0	0	protein dynamin family protein, putative, expressed
LOC_Os03g15650	3	3	0	3	0	0	0	0	0	0	3	0	0	0	protein vacuolar sorting protein, putative, expressed
LOC_Os03g17310	1	15	0	15	0	0	0	0	0	0	3	0	0	0	protein calcium-transporting ATPase, endoplasmic reticulum-type, putative, expressed
LOC_Os03g18220	2	29	0	29	0	0	0	0	0	0	3	0	0	0	protein pyruvate decarboxylase isozyme 2, putative, expressed
LOC_Os03g18690	1	4	0	4	0	0	0	0	0	0	3	0	0	0	protein 26S protease regulatory subunit 4, putative, expressed
LOC_Os03g18810	1	14	0	14	0	0	0	0	0	0	3	0	0	0	protein aminotransferase, classes I and II, domain containing protein, expressed
LOC_Os03g19530	1	8	0	8	0	0	0	0	0	0	3	0	0	0	protein DEAD-box ATP-dependent RNA helicase, putative, expressed
LOC_Os03g21040	2	20	0	20	0	0	0	0	0	0	3	0	0	0	protein stress responsive protein, putative, expressed
LOC_Os03g21530	2	8	0	8	0	0	0	0	0	0	3	0	0	0	protein AARP2CN domain containing protein, expressed
LOC_Os03g21810	1	13	0	13	0	0	0	0	0	0	3	0	0	0	protein insulin-degrading enzyme, putative, expressed
LOC_Os03g22120	3	5	0	5	0	0	0	0	0	0	3	0	0	0	protein sucrose synthase, putative, expressed
LOC_Os03g22180	1	7	0	7	0	0	0	0	0	0	3	0	0	0	protein 60S ribosomal protein L18-3, putative, expressed
LOC_Os03g22570	2	16	0	16	0	0	0	0	0	0	3	0	0	0	protein MIF4G domain containing protein, putative, expressed
LOC_Os03g22730	1	11	1	10	1	0	0	0	0	0	3	0	0	0	protein nucleolar protein NOP5-1, putative
LOC_Os03g25140	1	2	0	2	0	0	0	0	0	0	3	0	0	0	protein peptidyl-prolyl isomerase PASTICCINO1, putative, expressed
LOC_Os03g32630	1	9	0	9	0	0	0	0	0	0	3	0	0	0	protein ABC transporter, ATP-binding protein, putative, expressed
LOC_Os03g38000	2	21	0	21	0	0	0	0	0	0	3	0	0	0	protein 40S ribosomal protein S3-1, putative, expressed
LOC_Os03g38970	1	12	0	12	0	0	0	0	0	0	3	0	0	0	protein metal ion binding protein, putative, expressed
LOC_Os03g38980	3	17	0	17	0	0	0	0	0	0	3	0	0	0	protein tRNA synthetases class II domain containing protein, expressed
LOC_Os03g40270	1	17	0	17	0	0	0	0	0	0	3	0	0	0	protein alpha-1,4-glucan-protein synthase, putative, expressed
LOC_Os03g43890	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein WD domain, G-beta repeat domain containing protein, expressed
LOC_Os03g44310	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein initiation factor 2 subunit family domain containing protein, expressed
LOC_Os03g46340	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein pleckstrin homology domain-containing protein, putative, expressed
LOC_Os03g46770	1	5	0	5	0	0	0	0	0	0	3	0	0	0	protein RNA recognition motif containing protein, expressed
LOC_Os03g48260	1	7	0	7	0	0	0	0	0	0	3	0	0	0	protein expressed protein
LOC_Os03g48930	1	7	0	7	0	0	0	0	0	0	3	0	0	0	protein peptidase, T1 family, putative, expressed
LOC_Os03g50480	2	25	0	25	0	0	0	0	0	0	3	0	0	0	protein phosphoglucomutase, putative, expressed
LOC_Os03g50490	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein glutamine synthetase, catalytic domain containing protein, expressed
LOC_Os03g50885	1	12	0	12	0	0	0	0	0	0	3	0	0	0	protein actin, putative, expressed
LOC_Os03g51000	3	10	0	10	0	0	0	0	0	0	3	0	0	0	protein 3,4-dihydroxy-2-butanone kinase, putative, expressed
LOC_Os03g51030	3	4	0	4	0	0	0	0	0	0	3	0	0	0	protein phytochrome A, putative, expressed
LOC_Os03g51080	1	4	0	4	0	0	0	0	0	0	3	0	0	0	protein glutamate decarboxylase, putative, expressed
LOC_Os03g51470	1	4	0	4	0	0	0	0	0	0	3	0	0	0	protein expressed protein
LOC_Os03g52310	1	13	0	13	0	0	0	0	0	0	3	0	0	0	protein transposon protein, putative, unclassified, expressed
LOC_Os03g52490	1	6	0	6	0	0	0	0	0	0	3	0	0	0	protein nucleic acid binding protein, putative, expressed
LOC_Os03g53230	1	18	0	18	0	0	0	0	0	0	3	0	0	0	protein bifunctional 3-phosphoadenosine 5-phosphosulfate synthetase, putative, expressed
LOC_Os03g53270	2	12	0	12	0	0	0	0	0	0	3	0	0	0	protein stem-specific protein TSJT1, putative, expressed
LOC_Os03g56800	2	7	0	7	0	0	0	0	0	0	3	0	0	0	protein CBS domain containing membrane protein, putative, expressed
LOC_Os03g57430	1	3	0	3	0	0	0	0	0	0	3	0	0	0	protein expressed protein
LOC_Os03g59020	1	24	0	24	0	0	0	0	0	0	3	0	0	0	protein T-complex protein, putative, expressed
LOC_Os03g59050	1	10	0	10	0	0	0	0	0	0	3	0	0	0	protein DEAD-box ATP-dependent RNA helicase, putative, expressed
LOC_Os03g60620	1	15	0	15	0	0	0	0	0	0	3	0	0	0	protein DnaK family protein, putative, expressed
LOC_Os03g64190	2	3	0	3	0	0	0	0	0	0	3	0	0	0	protein la domain containing protein, putative, expressed
LOC_Os04g02870	4	5	0	5	0	0	0	0	0	0	4	0	0	0	protein RNA recognition motif containing protein, putative, expressed
LOC_Os04g02900	2	7	0	7	0	0	0	0	0	0	4	0	0	0	protein dehydrogenase E1 component domain containing protein, expressed
LOC_Os04g08310	1	2	0	2	0	0	0	0	0	0	4	0	0	0	protein expressed protein
LOC_Os04g18010	3	4	1	3	1	0	0	0	0	0	4	1	0	1	protein cleavage and polyadenylation specificity factor subunit 1, putative, expressed
LOC_Os04g20220	1	8	0	8	0	0	0	0	0	0	4	0	0	0	protein elongation factor Tu, putative, expressed
LOC_Os04g56520	2	8	0	8	0	0	0	0	0	0	4	0	0	0	protein alpha-1,4-glucan-protein synthase, putative, expressed
LOC_Os05g51140	2	3	0	3	0	0	0	0	0	0	5	0	0	0	protein expressed protein
LOC_Os06g40600	1	32	1	31	0	0	1	0	0	0	6	0	0	0	protein elongation factor, putative, expressed
LOC_Os08g37280	2	4	0	4	0	0	0	0	0	0	8	0	0	0	protein PWWP domain containing protein, expressed
LOC_Os08g37320	1	12	0	12	0	0	0	0	0	0	8	0	0	0	protein expressed protein
LOC_Os09g07900	1	19	0	19	0	0	0	0	0	0	9	0	0	0	protein ubiquitin-protein ligase 1, putative, expressed
LOC_Os09g08910	1	15	0	15	0	0	0	0	0	0	9	0	0	0	protein ATP synthase, putative, expressed
LOC_Os04g27950	1	4	2	2	2	0	0	0	0	0	4	0	1	1	protein expressed protein
LOC_Os04g28090	1	11	2	9	2	0	0	0	0	0	4	1	0	1	protein MYB family transcription factor, putative, expressed
LOC_Os04g28180	1	11	0	11	0	0	0	0	0	0	4	0	0	0	protein ribosomal protein, putative, expressed
LOC_Os04g31190	1	3	0	3	0	0	0	0	0	0	4	0	0	0	protein dynamin family protein, putative, expressed
LOC_Os04g31620	1	4	3	1	3	0	0	0	0	0	4	0	3	3	protein retrotransposon protein, putative, unclassified, expressed
LOC_Os04g33460	1	4	0	4	0	0	0	0	0	0	4	0	0	0	protein 1,4-alpha-glucan-branching enzyme 2, chloroplast precursor, putative, expressed
LOC_Os04g36890	2	9	0	9	0	0	0	0	0	0	4	0	0	0	protein peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed
LOC_Os04g38630	1	2	0	2	0	0	0	0	0	0	4	0	0	0	protein helicase conserved C-terminal domain containing protein, expressed
LOC_Os04g38870	5	7	0	7	0	0	0	0	0	0	4	0	0	0	protein 14-3-3 protein, putative, expressed
LOC_Os04g39040	1	4	0	4	0	0	0	0	0	0	4	0	0	0	protein UBA and UBX domain-containing protein, putative, expressed
LOC_Os04g39629	1	3	0	3	0	0	0	0	0	0	4	0	0	0	protein RNA recognition motif containing protein, putative, expressed
LOC_Os04g39980	1	8	0	8	0	0	0	0	0	0	4	0	0	0	protein gibberellin 20 oxidase 2, putative, expressed
LOC_Os04g40720	1	4	0	4	0	0	0	0	0	0	4	0	0	0	protein expressed protein
LOC_Os04g42010	1	5	0	5	0	0	0	0	0	0	4	0	0	0	protein RNA binding protein, putative, expressed
LOC_Os04g42600	2	10	1	9	1	0	0	0	0	1	4	0	0	1	protein polyadenylate-binding protein, putative, expressed
LOC_Os04g49954	1	2	0	2	0	0	0	0	0	0	4	0	0	0	protein expressed protein
LOC_Os04g50204	1	9	0	9	0	0	0	0	0	0	4	0	0	0	protein protein transport protein-related, putative, expressed
LOC_Os04g51090	1	13	1	12	0	1	0	0	0	1	4	0	0	1	protein tRNA-splicing endonuclease positive effector-related, putative, expressed
LOC_Os04g51630	3	13	0	13	0	0	0	0	0	0	4	0	0	0	protein 60S ribosomal protein L7, putative, expressed
LOC_Os04g51960	1	4	0	4	0	0	0	0	0	0	4	0	0	0	protein expressed protein
LOC_Os04g52540	1	6	0	6	0	0	0	0	0	0	4	0	0	0	protein retrotransposon protein, putative, unclassified, expressed
LOC_Os04g52960	1	14	0	14	0	0	0	0	0	0	4	0	0	0	protein nucleolin, putative, expressed
LOC_Os04g53670	1	5	0	5	0	0	0	0	0	0	4	0	0	0	protein expressed protein
